File_ID,System_ID,cell_id,file_name,extension,folder,file_size_MB,file_path
59,3.0,4.0,test_36_cell4_C20FOrm_23-02-22_Channel_36_Wb_1.CSV,csv,test_36_cell4_C20FOrm_23-02-22_2023_02_22_095811,23.12,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_36_cell4_C20FOrm_23-02-22_2023_02_22_095811/test_36_cell4_C20FOrm_23-02-22_Channel_36_Wb_1.CSV
60,17.0,24.0,test_37_cell24_C20FOrm_23-02-22_Channel_37_Wb_1.CSV,csv,test_37_cell24_C20FOrm_23-02-22_2023_02_22_095824,25.34,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_37_cell24_C20FOrm_23-02-22_2023_02_22_095824/test_37_cell24_C20FOrm_23-02-22_Channel_37_Wb_1.CSV
61,31.0,41.0,test_37_cell41_C20Form_23-02-17_Channel_37_Wb_1.CSV,csv,test_37_cell41_C20Form_23-02-17_2023_02_17_123906,25.69,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_37_cell41_C20Form_23-02-17_2023_02_17_123906/test_37_cell41_C20Form_23-02-17_Channel_37_Wb_1.CSV
62,10.0,16.0,test_38_cell16_C20FOrm_23-02-22_Channel_38_Wb_1.CSV,csv,test_38_cell16_C20FOrm_23-02-22_2023_02_22_095839,30.51,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_38_cell16_C20FOrm_23-02-22_2023_02_22_095839/test_38_cell16_C20FOrm_23-02-22_Channel_38_Wb_1.CSV
63,22.0,29.0,test_38_cell29_C20Form_23-02-17_Channel_38_Wb_1.CSV,csv,test_38_cell29_C20Form_23-02-17_2023_02_17_123920,12.1,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_38_cell29_C20Form_23-02-17_2023_02_17_123920/test_38_cell29_C20Form_23-02-17_Channel_38_Wb_1.CSV
64,25.0,34.0,test_39_cell34_C20Form_23-02-17_Channel_39_Wb_1.CSV,csv,test_39_cell34_C20Form_23-02-17_2023_02_17_123938,114.94,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_39_cell34_C20Form_23-02-17_2023_02_17_123938/test_39_cell34_C20Form_23-02-17_Channel_39_Wb_1.CSV
65,25.0,34.0,test_39_cell34_C20Form_23-02-17_Channel_39_Wb_2.CSV,csv,test_39_cell34_C20Form_23-02-17_2023_02_17_123938,9.46,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_39_cell34_C20Form_23-02-17_2023_02_17_123938/test_39_cell34_C20Form_23-02-17_Channel_39_Wb_2.CSV
66,19.0,26.0,test_40_cell26_C20Form_23-02-17_Channel_40_Wb_1.CSV,csv,test_40_cell26_C20Form_23-02-17_2023_02_17_123956,115.54,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_40_cell26_C20Form_23-02-17_2023_02_17_123956/test_40_cell26_C20Form_23-02-17_Channel_40_Wb_1.CSV
67,19.0,26.0,test_40_cell26_C20Form_23-02-17_Channel_40_Wb_2.CSV,csv,test_40_cell26_C20Form_23-02-17_2023_02_17_123956,27.32,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_40_cell26_C20Form_23-02-17_2023_02_17_123956/test_40_cell26_C20Form_23-02-17_Channel_40_Wb_2.CSV
68,36.0,54.0,test_47_cell54_C20Form_23-02-22_Channel_47_Wb_1.CSV,csv,test_47_cell54_C20Form_23-02-22_2023_02_22_161151,58.6,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_47_cell54_C20Form_23-02-22_2023_02_22_161151/test_47_cell54_C20Form_23-02-22_Channel_47_Wb_1.CSV
69,2.0,2.0,test_6_cell2_C20Form_23-02-22_Channel_6_Wb_1.CSV,csv,test_6_cell2_C20Form_23-02-22_2023_02_22_161425,20.64,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_6_cell2_C20Form_23-02-22_2023_02_22_161425/test_6_cell2_C20Form_23-02-22_Channel_6_Wb_1.CSV
70,28.0,37.0,test_9_cell37_C20Form_23-02-22_Channel_9_Wb_1.CSV,csv,test_9_cell37_C20Form_23-02-22_2023_02_22_194005,21.39,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form/test_9_cell37_C20Form_23-02-22_2023_02_22_194005/test_9_cell37_C20Form_23-02-22_Channel_9_Wb_1.CSV
71,57.0,121.0,Na_C20FormC2Cycle_cell_121_channel_31.hdf5,hdf5,C20Formation C2 Cycle,72.83,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_121_channel_31.hdf5
72,44.0,68.0,Na_C20FormC2Cycle_cell_68_channel_25.hdf5,hdf5,C20Formation C2 Cycle,25.27,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_68_channel_25.hdf5
73,45.0,69.0,Na_C20FormC2Cycle_cell_69_channel_24.hdf5,hdf5,C20Formation C2 Cycle,20.27,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_69_channel_24.hdf5
74,49.0,78.0,Na_C20FormC2Cycle_cell_78_channel_47.hdf5,hdf5,C20Formation C2 Cycle,19.52,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_78_channel_47.hdf5
75,50.0,86.0,Na_C20FormC2Cycle_cell_86_channel_24.hdf5,hdf5,C20Formation C2 Cycle,34.62,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_86_channel_24.hdf5
76,53.0,93.0,Na_C20FormC2Cycle_cell_93_channel_41.hdf5,hdf5,C20Formation C2 Cycle,18.14,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Formation C2 Cycle/Na_C20FormC2Cycle_cell_93_channel_41.hdf5
